identifier,name,description,effect,synergy,descriptionMore,color,isStart,values,maxLevel,available,buyPrice,upgradePrice,weight,unlockpre,unlockLevel,changeToRune,shape
shield_fortify,筑盾术,"回合开始阶段，获得{0}点护盾",shield_fortify,护盾,"回合开始阶段自动触发：获得{0}点护盾值。护盾优先于角色生命值被消耗，可叠加。基础叠盾能力，护盾流派入门词条。",green,1,2|4|6,3,1,3,3,10,,,0,0
shield_shatter,碎盾击,"护盾被消耗时，对攻击者造成{0}点伤害",shield_shatter,护盾,"阶段二伤害结算时触发：每当护盾值因承受伤害而被消耗时，对造成该伤害的敌人返还{0}点伤害。让护盾不仅是防御，更是反击的起点。",green,1,2|3|5,3,1,3,3,10,,,0,0
shield_bulwark,坚壁,"护盾上限提升{0}点",shield_bulwark,护盾,"被动效果，始终生效：角色最大护盾值上限额外增加{0}点。更高的护盾上限意味着更强的承伤能力和溢出转化空间。解锁更多高阶护盾词条的基础。",green,0,3|5|8,3,1,4,4,8,shield_fortify,2,0,0
shield_cascade,连珠护盾,"单次消除≥5个音符时，额外获得{0}点护盾",shield_cascade,护盾,"阶段一玩家操作时触发：当单次连线消除的音符数量达到5个或以上时，在音波发射前额外获得{0}点护盾。大规模消除的奖励，配合连击体系效果更佳。",green,0,2|3|5,3,1,4,4,7,shield_fortify,2,0,0
shield_combo,连击护盾,"每{0}连击获得1点护盾",shield_combo,护盾,"阶段一玩家操作时触发：当前回合中，连击数每达到{0}的倍数时获得1点护盾。连击越高叠盾越快，鼓励连续消除策略。升级后触发间隔缩短，叠盾频率更高。",green,0,4|3|2,3,1,4,4,7,shield_fortify,2,0,0
shield_flow,音波护盾,"音波飞行中每穿过1个敌人，获得{0}点护盾",shield_flow,护盾,"阶段一音波飞行过程中触发：音波每穿透一个怪物，为角色叠加{0}点护盾。音波飞越的怪物越多，护盾收益越高。配合多段音波和穿透效果可大幅叠盾。",green,0,1|2|3,3,1,4,4,8,shield_fortify,3,0,0
shield_thorns,荆棘护盾,"护盾吸收伤害时，反弹吸收量的{0}%",shield_thorns,护盾,"阶段二伤害结算时触发：护盾每吸收1点伤害，对攻击者反弹{0}%的伤害值。荆棘效果在护盾被消耗的瞬间结算，让敌人的每一次攻击都付出代价。",green,0,30|50|75,3,1,4,4,8,shield_shatter,2,0,0
shield_absorb,护盾蓄能,"护盾被消耗时，储存吸收伤害的{0}%",shield_absorb,护盾,"阶段二伤害结算时触发：护盾每次被消耗时，将吸收到的伤害值的{0}%储存为蓄能值。蓄能值可被后续的释放类技能消耗，转化为范围伤害或生命回复。",green,0,40|60|80,3,1,4,4,7,shield_shatter,2,0,0
shield_retaliate,破碎反击,"护盾被击破时，对全体敌人造成{0}点伤害",shield_retaliate,护盾,"阶段二伤害结算时触发：当护盾值被伤害清空的瞬间，对场上所有敌人造成{0}点范围伤害。护盾破碎不是终点，而是反击的号角。",green,0,3|5|8,3,1,4,4,7,shield_shatter,2,0,0
shield_phoenix,不灭护盾,"受到致命伤害时，消耗全部护盾存活，CD{0}回合",shield_phoenix,护盾,"阶段二伤害结算时触发：当角色生命值即将因伤害降为0时，自动消耗当前全部护盾值，保留1点生命值存活。每场战斗可触发多次，冷却{0}回合。凤凰涅槃，绝境中的最后防线。",green,0,8|6|4,3,1,5,5,4,shield_shatter,3,0,0
shield_eternal,永恒护盾,"回合间护盾衰减降低{0}%",shield_eternal,护盾,"阶段六回合收尾时生效：护盾在回合结束时的自然衰减量减少{0}%。让辛苦积攒的护盾更持久地保留，不再白白流失。高等级下护盾几乎不衰减，真正做到永恒守护。",green,0,30|50|70,3,1,5,5,4,shield_bulwark,2,0,0
shield_barrier,绝对屏障,"每场战斗1次，获得{0}点护盾并免疫伤害1回合",shield_barrier,护盾,"阶段六回合收尾时可手动选择触发（每场战斗限1次）：立即获得{0}点护盾，并在下一回合的阶段二伤害结算中免疫所有伤害。绝境翻盘的王牌，使用时机决定胜负。",green,0,5|8|12,3,1,5,5,3,shield_bulwark,3,0,0
shield_resonance,共鸣护盾,"同一敌人被多道音波命中时，每道额外音波+{0}护盾",shield_resonance,护盾,"阶段一音波飞行结算时触发：当同一敌人在单回合内被第二道及以上的音波命中时，每道额外音波为角色提供{0}点护盾。多段攻击的护盾回报，鼓励集中火力。",green,0,1|2|3,3,1,4,3,6,shield_cascade,2,0,0
shield_surge,护盾充盈,"护盾值满时，音波伤害提升{0}%",shield_surge,护盾,"阶段一玩家操作时判定：当角色护盾值处于最大值状态时，本回合发射的所有音波基础伤害提升{0}%。满盾不仅是安全感的象征，更是输出的催化剂。",green,0,15|25|40,3,1,4,3,5,shield_cascade,2,0,0
shield_momentum,惯性护盾,"本回合获得的护盾的{0}%保留至下回合",shield_momentum,护盾,"阶段六回合收尾时生效：将本回合通过任何方式获得的总护盾值的{0}%额外保留至下一回合开始，叠加在现有护盾之上。让每一份努力都延续到下一轮，形成雪球效应。",green,0,20|35|50,3,1,4,3,5,shield_combo,2,0,0
