identifier,name,description,effect,synergy,descriptionMore,color,isStart,values,maxLevel,available,buyPrice,upgradePrice,weight,unlockpre,unlockLevel,changeToRune,shape
soloStrike,单格连击,消除1个音符时，伤害×{0},soloStrike,少,阶段二：当你仅消除1个音符时，该次攻击的最终伤害乘以{0}倍。无需连线，单个音符即是力量。,blue,1,2.5|3.0|4.0,3,1,3,3,10,,,0,0
rareColorSuppress,色韵抑制,棋盘生成时绿色音符出现率降低{0}%,rareColorSuppress,少,阶段六：每回合结束时，下一回合棋盘中绿色音符的生成概率降低{0}%，使精准操作更加容易。,green,1,20|35|50,3,1,3,3,10,,,0,0
soloCritical,单格暴击,单格操作有{0}%概率暴击，伤害×2,soloCritical,少,阶段二：消除1个音符时，有{0}%概率触发暴击效果，该次攻击伤害翻倍。,blue,,15|30,2,1,4,4,7,soloStrike,2,0,0
soloPierce,单格穿透,单格音波穿透{0}个怪物,soloPierce,少,阶段二：消除1个音符时，释放的音波将穿透{0}个怪物，对每个穿透目标造成等量伤害。,blue,,1|2,2,1,4,4,6,soloCritical,1,0,0
soloCharge,蓄力独击,每次单格操作后下次伤害+{0}%,soloCharge,少,阶段二：每次进行单格消除后累积一层蓄力，使下次攻击伤害提升{0}%。效果在非单格操作后重置。,blue,,30|50,2,1,4,4,7,soloStrike,1,0,0
soloStun,单格眩晕,单格操作有{0}%概率眩晕目标,soloStun,少,阶段二：消除1个音符时，有{0}%概率使目标怪物进入眩晕状态，跳过其下一回合的行动。,blue,,20|35,2,1,4,4,6,soloCharge,1,0,0
soloRange,远程独击,单格操作可攻击距离+{0}列,soloRange,少,阶段二：消除1个音符时，你的攻击范围额外延伸{0}列，可攻击更远处的怪物。,green,,1|2,2,1,4,4,5,soloStrike,2,0,0
soloDrain,单格噬血,单格连线回复伤害{0}%的HP,soloDrain,少,阶段二：消除1个音符造成的伤害，将其中{0}%转化为生命回复。以少搏多，以血养血。,green,,15|25,2,1,4,4,4,soloPierce,2,0,0
soloRipple,单格涟漪,单格操作附加{0}点溅射伤害,soloRipple,少,阶段二：消除1个音符时，对目标相邻的怪物额外造成{0}点溅射伤害。一点入水，涟漪千层。,blue,,3|5,2,1,4,4,5,soloDrain,1,0,0
soloDomain,独格领域,每回合首次单格操作触发{0}次,soloDomain,少,阶段一：每回合你进行的第一次单格消除，将自动额外触发{0}次，效果等同于连续消除同一个音符。,green,,1|2,2,1,5,5,4,soloStun,2,0,0
